#  Montana Average Temperature
# Units: Degrees Fahrenheit
# Base Period: 1901-2000
# Missing: -99
Date,Value,Anomaly
199701,14.3,-2.4
199702,26.0,4.7
199703,31.8,2.4
199704,36.0,-4.7
199705,51.0,0.8
199706,60.6,2.3
199707,64.4,-1.3
199708,64.8,0.7
199709,58.1,4.3
199710,43.4,0.2
199711,30.4,0.9
199712,25.8,5.2
199801,19.0,2.3
199802,30.4,9.1
199803,28.9,-0.5
199804,43.7,3.0
199805,52.7,2.5
199806,54.4,-3.9
199807,69.1,3.4
199808,68.1,4.0
199809,61.4,7.6
199810,44.2,1.0
199811,33.1,3.6
199812,21.2,0.6
199901,22.2,5.5
199902,30.2,8.9
199903,35.2,5.8
199904,40.0,-0.7
199905,48.7,-1.5
199906,57.0,-1.3
199907,64.0,-1.7
199908,66.4,2.3
199909,51.6,-2.2
199910,44.7,1.5
199911,39.0,9.5
199912,29.5,8.9
200001,22.1,5.4
200002,26.9,5.6
200003,35.5,6.1
200004,43.2,2.5
200005,51.5,1.3
200006,58.0,-0.3
200007,68.4,2.7
200008,66.8,2.7
200009,54.4,0.6
200010,43.5,0.3
200011,22.1,-7.4
200012,15.8,-4.8
200101,24.6,7.9
200102,16.5,-4.8
200103,33.8,4.4
200104,41.1,0.4
200105,53.3,3.1
200106,58.4,0.1
200107,67.1,1.4
200108,68.9,4.8
200109,58.7,4.9
200110,42.7,-0.5
200111,36.3,6.8
200112,22.4,1.8
200201,22.7,6.0
200202,26.4,5.1
200203,19.8,-9.6
200204,37.6,-3.1
200205,47.5,-2.7
200206,59.5,1.2
200207,69.6,3.9
200208,61.3,-2.8
200209,55.7,1.9
200210,36.6,-6.6
200211,33.8,4.3
200212,26.8,6.2
200301,24.7,8.0
200302,21.4,0.1
200303,29.8,0.4
200304,44.1,3.4
200305,50.1,-0.1
200306,58.4,0.1
200307,70.3,4.6
200308,70.0,5.9
200309,54.6,0.8
200310,47.5,4.3
200311,24.0,-5.5
200312,25.1,4.5
200401,17.0,0.3
200402,24.1,2.8
200403,37.5,8.1
200404,44.3,3.6
200405,48.1,-2.1
200406,56.1,-2.2
200407,66.1,0.4
200408,62.4,-1.7
200409,54.1,0.3
200410,43.1,-0.1
200411,33.6,4.1
200412,27.4,6.8
200501,18.1,1.4
200502,28.9,7.6
200503,34.6,5.2
200504,42.7,2.0
200505,49.0,-1.2
200506,57.7,-0.6
200507,67.6,1.9
200508,63.9,-0.2
200509,55.4,1.6
200510,45.1,1.9
200511,33.2,3.7
200512,20.5,-0.1
200601,31.4,14.7
200602,23.4,2.1
200603,30.6,1.2
200604,44.9,4.2
200605,52.9,2.7
200606,61.6,3.3
200607,71.2,5.5
200608,65.5,1.4
200609,54.8,1.0
200610,40.4,-2.8
200611,30.3,0.8
200612,25.5,4.9
200701,21.8,5.1
200702,22.0,0.7
200703,38.9,9.5
200704,40.9,0.2
200705,52.1,1.9
200706,60.7,2.4
200707,73.3,7.6
200708,65.8,1.7
200709,55.0,1.2
200710,44.6,1.4
200711,31.6,2.1
200712,21.6,1.0
200801,18.1,1.4
200802,24.2,2.9
200803,31.2,1.8
200804,37.6,-3.1
200805,49.6,-0.6
200806,56.7,-1.6
200807,66.5,0.8
200808,65.6,1.5
200809,53.6,-0.2
200810,43.7,0.5
200811,35.8,6.3
200812,14.0,-6.6
200901,21.1,4.4
200902,25.1,3.8
200903,28.3,-1.1
200904,39.8,-0.9
200905,50.5,0.3
200906,56.6,-1.7
200907,64.6,-1.1
200908,63.4,-0.7
200909,60.7,6.9
200910,36.4,-6.8
200911,35.2,5.7
200912,12.0,-8.6
201001,20.6,3.9
201002,21.1,-0.2
201003,36.2,6.8
201004,41.6,0.9
201005,46.3,-3.9
201006,57.5,-0.8
201007,64.3,-1.4
201008,63.8,-0.3
201009,54.1,0.3
201010,47.6,4.4
201011,26.6,-2.9
201012,19.0,-1.6
201101,19.1,2.4
201102,16.4,-4.9
201103,28.6,-0.8
201104,37.7,-3.0
201105,47.1,-3.1
201106,56.3,-2.0
201107,66.6,0.9
201108,66.8,2.7
201109,58.3,4.5
201110,45.9,2.7
201111,30.0,0.5
201112,26.2,5.6
201201,25.1,8.4
201202,24.9,3.6
201203,39.4,10.0
201204,44.8,4.1
201205,49.5,-0.7
201206,60.2,1.9
201207,70.7,5.0
201208,66.7,2.6
201209,58.2,4.4
201210,41.0,-2.2
201211,32.4,2.9
201212,21.5,0.9
201301,21.7,5.0
201302,27.4,6.1
201303,30.5,1.1
201304,36.9,-3.8
201305,51.9,1.7
201306,59.0,0.7
201307,67.5,1.8
201308,67.3,3.2
201309,58.8,5.0
201310,40.8,-2.4
201311,30.4,0.9
201312,16.4,-4.2
201401,24.5,7.8
201402,14.7,-6.6
201403,29.4,0.0
201404,41.0,0.3
201405,51.1,0.9
201406,56.5,-1.8
201407,67.6,1.9
201408,64.8,0.7
201409,55.1,1.3
201410,47.9,4.7
201411,25.3,-4.2
201412,25.0,4.4
201501,24.7,8.0
201502,26.9,5.6
201503,39.5,10.1
201504,42.8,2.1
201505,49.6,-0.6
201506,63.8,5.5
201507,66.2,0.5
201508,65.9,1.8
201509,57.3,3.5
201510,48.0,4.8
201511,30.0,0.5
201512,23.6,3.0
201601,23.4,6.7
201602,33.6,12.3
201603,37.4,8.0
201604,45.0,4.3
201605,51.0,0.8
201606,62.4,4.1
201607,65.9,0.2
201608,64.4,0.3
201609,54.8,1.0
201610,44.3,1.1
201611,39.1,9.6
201612,14.2,-6.4
201701,15.2,-1.5
201702,25.4,4.1
201703,35.8,6.4
201704,42.1,1.4
201705,52.3,2.1
201706,60.6,2.3
201707,71.6,5.9
201708,65.5,1.4
201709,55.2,1.4
201710,42.6,-0.6
201711,30.7,1.2
201712,21.1,0.5
201801,21.7,5.0
